SUMLEV,COUNTY,STNAME,CTYNAME,POP2020
50,1,Alabama,Autauga County,56145
50,3,Alabama,Baldwin County,229287
50,5,Alabama,Barbour County,24589
50,7,Alabama,Bibb County,22136
50,9,Alabama,Blount County,57879
50,11,Alabama,Bullock County,9976
50,13,Alabama,Butler County,19504
50,15,Alabama,Calhoun County,113469
50,17,Alabama,Chambers County,32865
50,19,Alabama,Cherokee County,26294
50,21,Alabama,Chilton County,44397
50,23,Alabama,Choctaw County,12418
50,25,Alabama,Clarke County,23291
50,27,Alabama,Clay County,13112
50,29,Alabama,Cleburne County,14967
50,31,Alabama,Coffee County,53230
50,33,Alabama,Colbert County,55411
50,35,Alabama,Conecuh County,11851
50,37,Alabama,Coosa County,10650
50,39,Alabama,Covington County,36930
50,41,Alabama,Crenshaw County,13681
50,43,Alabama,Cullman County,84515
50,45,Alabama,Dale County,48959
50,47,Alabama,Dallas County,36098
50,49,Alabama,DeKalb County,71658
50,51,Alabama,Elmore County,82158
50,53,Alabama,Escambia County,36281
50,55,Alabama,Etowah County,102371
50,57,Alabama,Fayette County,16241
50,59,Alabama,Franklin County,31507
50,61,Alabama,Geneva County,26411
50,63,Alabama,Greene County,7990
50,65,Alabama,Hale County,14670
50,67,Alabama,Henry County,17223
50,69,Alabama,Houston County,106580
50,71,Alabama,Jackson County,51582
50,73,Alabama,Jefferson County,655342
50,75,Alabama,Lamar County,13764
50,77,Alabama,Lauderdale County,93368
50,79,Alabama,Lawrence County,32857
50,81,Alabama,Lee County,166831
50,83,Alabama,Limestone County,102228
50,85,Alabama,Lowndes County,9641
50,87,Alabama,Macon County,17895
50,89,Alabama,Madison County,379453
50,91,Alabama,Marengo County,18733
50,93,Alabama,Marion County,29703
50,95,Alabama,Marshall County,96990
50,97,Alabama,Mobile County,412716
50,99,Alabama,Monroe County,20459
50,101,Alabama,Montgomery County,224639
50,103,Alabama,Morgan County,119883
50,105,Alabama,Perry County,8687
50,107,Alabama,Pickens County,19793
50,109,Alabama,Pike County,32966
50,111,Alabama,Randolph County,22920
50,113,Alabama,Russell County,58237
50,115,Alabama,St. Clair County,90739
50,117,Alabama,Shelby County,221428
50,119,Alabama,Sumter County,12225
50,121,Alabama,Talladega County,79985
50,123,Alabama,Tallapoosa County,40133
50,125,Alabama,Tuscaloosa County,210758
50,127,Alabama,Walker County,63143
50,129,Alabama,Washington County,15976
50,131,Alabama,Wilcox County,10206
50,133,Alabama,Winston County,23508
50,13,Alaska,Aleutians East Borough,3401
50,16,Alaska,Aleutians West Census Area,5680
50,20,Alaska,Anchorage Municipality,287095
50,50,Alaska,Bethel Census Area,18437
50,60,Alaska,Bristol Bay Borough,788
50,63,Alaska,Chugach Census Area,6427
50,66,Alaska,Copper River Census Area,2919
50,68,Alaska,Denali Borough,2081
50,70,Alaska,Dillingham Census Area,4833
50,90,Alaska,Fairbanks North Star Borough,95651
50,100,Alaska,Haines Borough,2614
50,105,Alaska,Hoonah-Angoon Census Area,2141
50,110,Alaska,Juneau City and Borough,31849
50,122,Alaska,Kenai Peninsula Borough,59414
50,130,Alaska,Ketchikan Gateway Borough,13747
50,150,Alaska,Kodiak Island Borough,12992
50,158,Alaska,Kusilvak Census Area,8328
50,164,Alaska,Lake and Peninsula Borough,1493
50,170,Alaska,Matanuska-Susitna Borough,110213
50,180,Alaska,Nome Census Area,9909
50,185,Alaska,North Slope Borough,9294
50,188,Alaska,Northwest Arctic Borough,7644
50,195,Alaska,Petersburg Borough,3296
50,198,Alaska,Prince of Wales-Hyder Census Area,6147
50,220,Alaska,Sitka City and Borough,8405
50,230,Alaska,Skagway Municipality,1179
50,240,Alaska,Southeast Fairbanks Census Area,6957
50,275,Alaska,Wrangell City and Borough,2510
50,282,Alaska,Yakutat City and Borough,637
50,290,Alaska,Yukon-Koyukuk Census Area,5077
